,REF_DATE,GEO,DGUID,National Occupational Classification (NOC),Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
0,2012,Canada,2016A000011124,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063746920,1.1.1,45000.0,A,,,0
1,2012,Canada,2016A000011124,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063746921,1.1.2,36000.0,A,,,0
2,2012,Canada,2016A000011124,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063746922,1.1.3,53200.0,A,,,0
3,2012,Canada,2016A000011124,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063746923,1.1.4,0.68,A,,,2
4,2012,Canada,2016A000011124,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063746924,1.1.5,34000.0,A,,,0
5,2012,Canada,2016A000011124,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063746925,1.1.6,27500.0,A,,,0
6,2012,Canada,2016A000011124,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063746926,1.1.7,42000.0,A,,,0
7,2012,Canada,2016A000011124,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063746927,1.1.8,0.66,A,,,2
8,2012,Canada,2016A000011124,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063746928,1.1.9,46300.0,A,,,0
9,2012,Canada,2016A000011124,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063746929,1.1.10,36800.0,A,,,0
10,2012,Canada,2016A000011124,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063746930,1.1.11,55200.0,A,,,0
11,2012,Canada,2016A000011124,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063746931,1.1.12,0.67,A,,,2
12,2012,Canada,2016A000011124,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063746932,1.1.13,36000.0,A,,,0
13,2012,Canada,2016A000011124,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063746933,1.1.14,28800.0,A,,,0
14,2012,Canada,2016A000011124,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063746934,1.1.15,44900.0,A,,,0
15,2012,Canada,2016A000011124,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063746935,1.1.16,0.64,A,,,2
192,2012,Atlantic provinces,2016A00011,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063747112,2.1.1,39800.0,A,,,0
193,2012,Atlantic provinces,2016A00011,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063747113,2.1.2,32300.0,A,,,0
194,2012,Atlantic provinces,2016A00011,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063747114,2.1.3,46800.0,A,,,0
195,2012,Atlantic provinces,2016A00011,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063747115,2.1.4,0.69,B,,,2
196,2012,Atlantic provinces,2016A00011,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063747116,2.1.5,30400.0,A,,,0
197,2012,Atlantic provinces,2016A00011,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063747117,2.1.6,24500.0,B,,,0
198,2012,Atlantic provinces,2016A00011,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063747118,2.1.7,36800.0,A,,,0
199,2012,Atlantic provinces,2016A00011,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063747119,2.1.8,0.67,B,,,2
200,2012,Atlantic provinces,2016A00011,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747120,2.1.9,40700.0,A,,,0
201,2012,Atlantic provinces,2016A00011,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747121,2.1.10,32900.0,A,,,0
202,2012,Atlantic provinces,2016A00011,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747122,2.1.11,48000.0,A,,,0
203,2012,Atlantic provinces,2016A00011,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747123,2.1.12,0.69,B,,,2
204,2012,Atlantic provinces,2016A00011,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747124,2.1.13,31800.0,A,,,0
205,2012,Atlantic provinces,2016A00011,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747125,2.1.14,25400.0,B,,,0
206,2012,Atlantic provinces,2016A00011,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747126,2.1.15,38200.0,A,,,0
207,2012,Atlantic provinces,2016A00011,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747127,2.1.16,0.67,B,,,2
384,2012,Newfoundland and Labrador,2016A000210,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063747304,3.1.1,43900.0,A,,,0
385,2012,Newfoundland and Labrador,2016A000210,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063747305,3.1.2,32500.0,B,,,0
386,2012,Newfoundland and Labrador,2016A000210,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063747306,3.1.3,54100.0,B,,,0
387,2012,Newfoundland and Labrador,2016A000210,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063747307,3.1.4,0.6,C,,,2
388,2012,Newfoundland and Labrador,2016A000210,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063747308,3.1.5,31100.0,A,,,0
389,2012,Newfoundland and Labrador,2016A000210,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063747309,3.1.6,21800.0,C,,,0
390,2012,Newfoundland and Labrador,2016A000210,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063747310,3.1.7,38500.0,C,,,0
391,2012,Newfoundland and Labrador,2016A000210,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063747311,3.1.8,0.57,D,,,2
392,2012,Newfoundland and Labrador,2016A000210,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747312,3.1.9,44900.0,A,,,0
393,2012,Newfoundland and Labrador,2016A000210,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747313,3.1.10,33100.0,B,,,0
394,2012,Newfoundland and Labrador,2016A000210,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747314,3.1.11,55700.0,B,,,0
395,2012,Newfoundland and Labrador,2016A000210,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747315,3.1.12,0.6,C,,,2
396,2012,Newfoundland and Labrador,2016A000210,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747316,3.1.13,32600.0,A,,,0
397,2012,Newfoundland and Labrador,2016A000210,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747317,3.1.14,23300.0,C,,,0
398,2012,Newfoundland and Labrador,2016A000210,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747318,3.1.15,40500.0,B,,,0
399,2012,Newfoundland and Labrador,2016A000210,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747319,3.1.16,0.58,C,,,2
576,2012,Prince Edward Island,2016A000211,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063747496,4.1.1,34600.0,B,,,0
577,2012,Prince Edward Island,2016A000211,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063747497,4.1.2,31200.0,B,,,0
578,2012,Prince Edward Island,2016A000211,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063747498,4.1.3,37800.0,C,,,0
579,2012,Prince Edward Island,2016A000211,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063747499,4.1.4,0.83,C,,,2
580,2012,Prince Edward Island,2016A000211,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063747500,4.1.5,25400.0,C,,,0
581,2012,Prince Edward Island,2016A000211,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063747501,4.1.6,22800.0,C,,,0
582,2012,Prince Edward Island,2016A000211,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063747502,4.1.7,29500.0,C,,,0
583,2012,Prince Edward Island,2016A000211,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063747503,4.1.8,0.77,D,,,2
584,2012,Prince Edward Island,2016A000211,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747504,4.1.9,34800.0,B,,,0
585,2012,Prince Edward Island,2016A000211,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747505,4.1.10,31800.0,B,,,0
586,2012,Prince Edward Island,2016A000211,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747506,4.1.11,37800.0,C,,,0
587,2012,Prince Edward Island,2016A000211,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747507,4.1.12,0.84,C,,,2
588,2012,Prince Edward Island,2016A000211,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747508,4.1.13,26700.0,B,,,0
589,2012,Prince Edward Island,2016A000211,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747509,4.1.14,24100.0,C,,,0
590,2012,Prince Edward Island,2016A000211,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747510,4.1.15,30700.0,C,,,0
591,2012,Prince Edward Island,2016A000211,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747511,4.1.16,0.79,D,,,2
768,2012,Nova Scotia,2016A000212,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063747688,5.1.1,39300.0,A,,,0
769,2012,Nova Scotia,2016A000212,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063747689,5.1.2,33400.0,B,,,0
770,2012,Nova Scotia,2016A000212,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063747690,5.1.3,44800.0,B,,,0
771,2012,Nova Scotia,2016A000212,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063747691,5.1.4,0.75,C,,,2
772,2012,Nova Scotia,2016A000212,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063747692,5.1.5,31100.0,B,,,0
773,2012,Nova Scotia,2016A000212,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063747693,5.1.6,25800.0,C,,,0
774,2012,Nova Scotia,2016A000212,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063747694,5.1.7,36900.0,B,,,0
775,2012,Nova Scotia,2016A000212,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063747695,5.1.8,0.7,C,,,2
776,2012,Nova Scotia,2016A000212,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747696,5.1.9,39900.0,A,,,0
777,2012,Nova Scotia,2016A000212,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747697,5.1.10,33700.0,B,,,0
778,2012,Nova Scotia,2016A000212,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747698,5.1.11,45800.0,B,,,0
779,2012,Nova Scotia,2016A000212,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747699,5.1.12,0.74,C,,,2
780,2012,Nova Scotia,2016A000212,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747700,5.1.13,32300.0,A,,,0
781,2012,Nova Scotia,2016A000212,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747701,5.1.14,26800.0,C,,,0
782,2012,Nova Scotia,2016A000212,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747702,5.1.15,38400.0,B,,,0
783,2012,Nova Scotia,2016A000212,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747703,5.1.16,0.7,C,,,2
960,2012,New Brunswick,2016A000213,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063747880,6.1.1,38700.0,A,,,0
961,2012,New Brunswick,2016A000213,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063747881,6.1.2,31000.0,B,,,0
962,2012,New Brunswick,2016A000213,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063747882,6.1.3,45600.0,B,,,0
963,2012,New Brunswick,2016A000213,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063747883,6.1.4,0.68,C,,,2
964,2012,New Brunswick,2016A000213,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063747884,6.1.5,29800.0,A,,,0
965,2012,New Brunswick,2016A000213,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063747885,6.1.6,23900.0,C,,,0
966,2012,New Brunswick,2016A000213,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063747886,6.1.7,36800.0,B,,,0
967,2012,New Brunswick,2016A000213,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063747887,6.1.8,0.65,C,,,2
968,2012,New Brunswick,2016A000213,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747888,6.1.9,39800.0,A,,,0
969,2012,New Brunswick,2016A000213,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747889,6.1.10,31900.0,B,,,0
970,2012,New Brunswick,2016A000213,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747890,6.1.11,47000.0,B,,,0
971,2012,New Brunswick,2016A000213,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747891,6.1.12,0.68,B,,,2
972,2012,New Brunswick,2016A000213,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063747892,6.1.13,31300.0,A,,,0
973,2012,New Brunswick,2016A000213,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063747893,6.1.14,25300.0,C,,,0
974,2012,New Brunswick,2016A000213,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063747894,6.1.15,38100.0,B,,,0
975,2012,New Brunswick,2016A000213,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063747895,6.1.16,0.66,C,,,2
1152,2012,Quebec,2016A000224,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063748072,7.1.1,40700.0,A,,,0
1153,2012,Quebec,2016A000224,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063748073,7.1.2,33000.0,A,,,0
1154,2012,Quebec,2016A000224,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063748074,7.1.3,47400.0,B,,,0
1155,2012,Quebec,2016A000224,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063748075,7.1.4,0.7,B,,,2
1156,2012,Quebec,2016A000224,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063748076,7.1.5,32100.0,A,,,0
1157,2012,Quebec,2016A000224,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063748077,7.1.6,27100.0,B,,,0
1158,2012,Quebec,2016A000224,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063748078,7.1.7,38300.0,A,,,0
1159,2012,Quebec,2016A000224,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063748079,7.1.8,0.71,B,,,2
1160,2012,Quebec,2016A000224,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063748080,7.1.9,40800.0,A,,,0
1161,2012,Quebec,2016A000224,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063748081,7.1.10,32700.0,A,,,0
1162,2012,Quebec,2016A000224,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063748082,7.1.11,48000.0,B,,,0
1163,2012,Quebec,2016A000224,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063748083,7.1.12,0.68,B,,,2
1164,2012,Quebec,2016A000224,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063748084,7.1.13,33400.0,A,,,0
1165,2012,Quebec,2016A000224,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063748085,7.1.14,28000.0,B,,,0
1166,2012,Quebec,2016A000224,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063748086,7.1.15,39700.0,A,,,0
1167,2012,Quebec,2016A000224,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063748087,7.1.16,0.71,B,,,2
1344,2012,Ontario,2016A000235,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063748264,8.1.1,45900.0,A,,,0
1345,2012,Ontario,2016A000235,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063748265,8.1.2,37900.0,A,,,0
1346,2012,Ontario,2016A000235,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063748266,8.1.3,53200.0,A,,,0
1347,2012,Ontario,2016A000235,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063748267,8.1.4,0.71,B,,,2
1348,2012,Ontario,2016A000235,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063748268,8.1.5,34300.0,A,,,0
1349,2012,Ontario,2016A000235,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063748269,8.1.6,27600.0,B,,,0
1350,2012,Ontario,2016A000235,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063748270,8.1.7,42500.0,B,,,0
1351,2012,Ontario,2016A000235,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063748271,8.1.8,0.65,B,,,2
1352,2012,Ontario,2016A000235,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063748272,8.1.9,47600.0,A,,,0
1353,2012,Ontario,2016A000235,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063748273,8.1.10,39000.0,A,,,0
1354,2012,Ontario,2016A000235,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063748274,8.1.11,55700.0,A,,,0
1355,2012,Ontario,2016A000235,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063748275,8.1.12,0.7,B,,,2
1356,2012,Ontario,2016A000235,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063748276,8.1.13,36900.0,A,,,0
1357,2012,Ontario,2016A000235,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063748277,8.1.14,29400.0,B,,,0
1358,2012,Ontario,2016A000235,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063748278,8.1.15,46200.0,A,,,0
1359,2012,Ontario,2016A000235,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063748279,8.1.16,0.64,B,,,2
1536,2012,Prairie provinces,2016A00014,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063748456,9.1.1,52600.0,A,,,0
1537,2012,Prairie provinces,2016A00014,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063748457,9.1.2,39600.0,A,,,0
1538,2012,Prairie provinces,2016A00014,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063748458,9.1.3,64100.0,A,,,0
1539,2012,Prairie provinces,2016A00014,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063748459,9.1.4,0.62,B,,,2
1540,2012,Prairie provinces,2016A00014,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063748460,9.1.5,40200.0,A,,,0
1541,2012,Prairie provinces,2016A00014,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063748461,9.1.6,31200.0,B,,,0
1542,2012,Prairie provinces,2016A00014,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063748462,9.1.7,50500.0,A,,,0
1543,2012,Prairie provinces,2016A00014,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063748463,9.1.8,0.62,B,,,2
1544,2012,Prairie provinces,2016A00014,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063748464,9.1.9,54500.0,A,,,0
1545,2012,Prairie provinces,2016A00014,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063748465,9.1.10,40800.0,A,,,0
1546,2012,Prairie provinces,2016A00014,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063748466,9.1.11,66900.0,A,,,0
1547,2012,Prairie provinces,2016A00014,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063748467,9.1.12,0.61,B,,,2
1548,2012,Prairie provinces,2016A00014,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063748468,9.1.13,42100.0,A,,,0
1549,2012,Prairie provinces,2016A00014,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063748469,9.1.14,32700.0,A,,,0
1550,2012,Prairie provinces,2016A00014,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063748470,9.1.15,53600.0,A,,,0
1551,2012,Prairie provinces,2016A00014,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063748471,9.1.16,0.61,B,,,2
1728,2012,Manitoba,2016A000246,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063748648,10.1.1,41600.0,A,,,0
1729,2012,Manitoba,2016A000246,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063748649,10.1.2,33700.0,A,,,0
1730,2012,Manitoba,2016A000246,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063748650,10.1.3,48800.0,A,,,0
1731,2012,Manitoba,2016A000246,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063748651,10.1.4,0.69,B,,,2
1732,2012,Manitoba,2016A000246,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063748652,10.1.5,33800.0,A,,,0
1733,2012,Manitoba,2016A000246,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063748653,10.1.6,28200.0,B,,,0
1734,2012,Manitoba,2016A000246,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063748654,10.1.7,41500.0,A,,,0
1735,2012,Manitoba,2016A000246,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063748655,10.1.8,0.68,B,,,2
1736,2012,Manitoba,2016A000246,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063748656,10.1.9,43000.0,A,,,0
1737,2012,Manitoba,2016A000246,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063748657,10.1.10,34800.0,A,,,0
1738,2012,Manitoba,2016A000246,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063748658,10.1.11,50800.0,B,,,0
1739,2012,Manitoba,2016A000246,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063748659,10.1.12,0.69,B,,,2
1740,2012,Manitoba,2016A000246,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063748660,10.1.13,35700.0,A,,,0
1741,2012,Manitoba,2016A000246,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063748661,10.1.14,29800.0,B,,,0
1742,2012,Manitoba,2016A000246,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063748662,10.1.15,43400.0,A,,,0
1743,2012,Manitoba,2016A000246,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063748663,10.1.16,0.69,B,,,2
1920,2012,Saskatchewan,2016A000247,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063748840,11.1.1,46800.0,A,,,0
1921,2012,Saskatchewan,2016A000247,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063748841,11.1.2,37200.0,A,,,0
1922,2012,Saskatchewan,2016A000247,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063748842,11.1.3,55100.0,A,,,0
1923,2012,Saskatchewan,2016A000247,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063748843,11.1.4,0.67,B,,,2
1924,2012,Saskatchewan,2016A000247,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063748844,11.1.5,36300.0,A,,,0
1925,2012,Saskatchewan,2016A000247,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063748845,11.1.6,29100.0,B,,,0
1926,2012,Saskatchewan,2016A000247,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063748846,11.1.7,45200.0,B,,,0
1927,2012,Saskatchewan,2016A000247,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063748847,11.1.8,0.65,C,,,2
1928,2012,Saskatchewan,2016A000247,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063748848,11.1.9,48400.0,A,,,0
1929,2012,Saskatchewan,2016A000247,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063748849,11.1.10,38000.0,A,,,0
1930,2012,Saskatchewan,2016A000247,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063748850,11.1.11,58000.0,A,,,0
1931,2012,Saskatchewan,2016A000247,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063748851,11.1.12,0.66,B,,,2
1932,2012,Saskatchewan,2016A000247,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063748852,11.1.13,38200.0,A,,,0
1933,2012,Saskatchewan,2016A000247,All occupations,"Median wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063748853,11.1.14,31100.0,B,,,0
1934,2012,Saskatchewan,2016A000247,All occupations,"Median wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063748854,11.1.15,48600.0,B,,,0
1935,2012,Saskatchewan,2016A000247,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063748855,11.1.16,0.64,C,,,2
2112,2012,Alberta,2016A000248,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063749032,12.1.1,57200.0,A,,,0
2113,2012,Alberta,2016A000248,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063749033,12.1.2,41900.0,B,,,0
2114,2012,Alberta,2016A000248,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063749034,12.1.3,70700.0,B,,,0
2115,2012,Alberta,2016A000248,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063749035,12.1.4,0.59,B,,,2
2116,2012,Alberta,2016A000248,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063749036,12.1.5,43400.0,A,,,0
2117,2012,Alberta,2016A000248,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063749037,12.1.6,32600.0,B,,,0
2118,2012,Alberta,2016A000248,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063749038,12.1.7,55900.0,B,,,0
2119,2012,Alberta,2016A000248,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063749039,12.1.8,0.58,C,,,2
2120,2012,Alberta,2016A000248,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063749040,12.1.9,59300.0,A,,,0
